Designator,Footprint,Quantity,Value,LCSC Part #
"C101, C201, C202",0603,3,0.1uF,
C203,0805,1,10uF,
D101,D_PowerDI-123,1,CUHS20F60,
D103,0603,1,LED RED,
FB101,0805,1,MH2029-601Y,
J101,USB_C_5077CR-16-SMC2-BK-TR,1,USB4105-GF-A,
J102,PinHeader_1x06_P2.54mm_Vertical,1,Conn_01x06,
R105,0603,1,330,
"R106, R107",0603,2,5K1,
"R201, R202",0603,2,10K,
R204,0603,1,47K 1%,
R206,0603,1,4.7K 1%,
SW304,SW_SKRPACE010_4mm_3mm,1,1,
U101,OLED I2C DISPLAY,1,SSD1306_DISPLAY,
U103,SOT-223-3_TabPin2,1,AZ1117-CH3.3TRG1,
U201,ESP32-S3-WROOM-1_EXP,1,ESP32-S3-WROOM-1-N16R8,
