Designator,Mid X,Mid Y,Rotation,Layer
C101,143.0,-56.8,0.0,top
C201,138.6,-83.8,0.0,bottom
C202,142.4,-83.8,180.0,bottom
C203,142.8,-56.6,0.0,bottom
D101,135.2,-56.3,180.0,top
D103,145.3,-89.4,0.0,top
FB101,142.2,-60.0,0.0,bottom
J101,135.0,-51.3,180.0,bottom
J102,135.0,-90.2,90.0,top
R105,145.3,-86.3,180.0,top
R106,133.5,-50.9,90.0,top
R107,137.1,-50.9,90.0,top
R201,140.2,-86.8,0.0,bottom
R202,124.6,-55.9,180.0,top
R204,127.9,-86.0,180.0,top
R206,123.7,-86.0,180.0,top
SW304,125.2,-52.1,0.0,top
U101,135.0,-71.585,0.0,top
U103,145.4,-51.7,180.0,top
U201,137.9,-72.0,90.0,bottom
