Designator,Footprint,Quantity,Value,LCSC Part #
"C101, C201, C202",0603,3,0.1uF,
C203,0805,1,10uF,
"D101, D102",D_PowerDI-123,2,CUHS20F60,
D103,0603,1,LED RED,
D402,0603,1,LED BLUE,
FB101,0805,1,MH2029-601Y,
"J101, J102",USB_C_5077CR-16-SMC2-BK-TR,2,USB4105-GF-A,
J103,PinHeader_1x08_P2.54mm_Vertical,1,PinHeader Conn_01x08,
J104,PinHeader_2x05_P2.54mm_Vertical,1,Conn_02x05_Odd_Even,
J105,USB_A_5075AR-04,1,USB_A,
J106,PinHeader_1x03_P2.54mm_Vertical,1,Conn_01x03,
R101,0603,1,150,
"R102, R204",0603,2,47K 1%,
"R103, R206",0603,2,4.7K 1%,
"R104, R109",0603,2,75K,
R105,0603,1,330,
"R106, R107",0603,2,5K1,
R108,0603,1,1K,
"R110, R111",0603,2,51K,
"R201, R202",0603,2,10K,
SW304,SW_SKRPACE010_4mm_3mm,1,1,
TP101,TestPoint_Pad_D1.0mm,1,3V3,
TP102,TestPoint_Pad_D1.0mm,1,GND,
TP103,TestPoint_Pad_D1.0mm,1,VBUS_OUT,
U101,ST7789V TFT SPI DISPLAY 320x240 GMT020-02-8P,1,ST7789V_TFT_DISPLAY_8P,
U102,DIP-4_W7.62mm,1,TLP3555A,
U103,SOT-223-3_TabPin2,1,AZ1117-CH3.3TRG1,
U201,ESP32-S3-WROOM-1_EXP,1,ESP32-S3-WROOM-1-N16R8,
