Designator,Mid X,Mid Y,Rotation,Layer
C101,192.7,-91.4,270.0,bottom
C201,172.2,-88.6,270.0,bottom
C202,172.2,-85.0,270.0,bottom
C203,185.5,-87.8,0.0,bottom
D101,207.3,-90.8,270.0,top
D103,178.9,-78.8,0.0,top
D402,211.8,-119.9125,90.0,top
FB101,182.4,-85.2,0.0,bottom
J1,127.0,-100.0,0.0,top
J101,204.0,-79.2,180.0,top
J102,204.0,-120.7,0.0,top
J104,126.995,-86.0,0.0,top
J105,203.3165,-104.0,90.0,top
J2,175.04,-122.15,270.0,top
R101,170.8,-105.2,180.0,bottom
R102,162.9,-111.3,0.0,bottom
R103,157.3,-111.3,0.0,bottom
R104,198.0,-107.3,90.0,bottom
R105,183.3,-78.8,0.0,top
R106,205.3,-78.9,90.0,bottom
R107,202.2,-78.9,90.0,bottom
R108,211.8,-115.8,90.0,top
R109,205.9,-106.0,90.0,bottom
R110,194.9,-107.3,270.0,bottom
R111,205.9,-102.0,90.0,bottom
R201,175.6,-87.0,270.0,bottom
R202,146.9,-110.0,0.0,bottom
R204,165.1,-107.8,0.0,bottom
R206,160.2,-107.8,0.0,bottom
SW304,127.0,-115.0,0.0,top
TP101,188.7,-78.8,0.0,top
TP102,195.7,-78.8,0.0,top
TP103,211.8,-92.4,0.0,top
U101,162.0,-100.0,0.0,top
U102,199.905,-90.795,0.0,top
U103,186.7,-93.8,90.0,bottom
U201,160.0,-88.2,0.0,bottom
